Country,Parkinson
Austria,0.015374759769378604
Germany,0.011498257839721254
Sweden,0.009373668512995313
Netherlands,0.007261410788381743
Spain,0.017983909133932798
Italy,0.011131725417439703
France,0.010543390105433901
Denmark,0.007866728366496992
Greece,0.014112903225806451
Switzerland,0.006874669487043892
Belgium,0.010558069381598794
Israel,0.013071895424836602
Czech Republic,0.011106997408367271
Poland,0.0077632217370208634
Luxembourg,0.00949367088607595
Hungary,0.016905071521456438
Slovenia,0.008035355564483728
Estonia,0.014642262895174708
Croatia,0.011864406779661017
Lithuania,0.011963406052076003
Bulgaria,0.006718924972004479
Cyprus,0.005597014925373134
Finland,0.007792207792207792
Latvia,0.002583979328165375
Malta,0.0024937655860349127
Romania,0.011084718923198733
Slovakia,0.004069175991861648
